ChEMBL ID,Canonical_Smiles,MW,LogP,NumHDonors,NumHAcceptors,pKi
CHEMBL211226,CN(Cc1nnc(n1c1cccc(c1)O)c1cccc(c1)C(C)(C)C)C,350.466,3.999,1,5,5.59
CHEMBL322195,CCCCOc1c(O)ccc2c1C13CCN(C(C2)[C@]3(OC)CCC(=O)C1)CC1CC1,413.558,3.9875,1,5,7.38
CHEMBL45344,COc1ccc2c3c1O[C@@H]1C43CCN(C(C2)C4Cc2c1[nH]c1c2cccc1)C,372.468,3.9805,1,3,6.54
CHEMBL390912,O=c1[nH]c2c(o1)cc1c(c2)C[C@@H]2[C@H]3[C@@]1(CCCC3)CCN2CC1CCC1,352.478,3.9796,1,3,6.44
CHEMBL4065740,Fc1cccc(c1CN1[C@@H]2CC[C@@H]1CC(C2)c1cccc(c1)C(=O)N)F,356.416,3.9743,1,2,6.50
CHEMBL611400,COc1ccc2c3c1O[C@@H]1[C@@]43CCN([C@H](C2)[C@@]4(CCC1=O)NC(=O)/C=C/c1ccccc1C)CC1CC1,498.623,3.97412,1,5,8.64
CHEMBL169703,O=C(c1ccsc1)NCC1CN=C(c2c(N1C)cccc2)c1ccccc1F,393.487,3.973,1,4,6.82
CHEMBL3695236,CONC(=O)c1nc2ccccc2n(c1=O)[C@@H]1C[C@@H]2CC[C@H](C1)N2C1CCCCCCC1,438.572,3.9685,1,6,4.87
CHEMBL4062483,NC(=O)c1cccc(c1)C1C[C@H]2CC[C@H](C1)N2CCCOc1ccccc1,364.489,3.965,1,3,8.40
CHEMBL237073,NC(=O)c1ccc(nc1)Oc1ccc2c(c1)CCCN(C2)CCc1ccccc1,387.483,3.9637,1,4,6.77
CHEMBL237071,NC(=O)c1ccc(nc1)Oc1ccc2c(c1)CCN(C2)CCCc1ccccc1,387.483,3.9637,1,4,5.67
CHEMBL241112,CCCC(c1ccccc1)N1CCC2(CC1)C(=O)NCN2c1ccccc1,363.505,3.9563,1,3,5.47
CHEMBL492448,Cc1ccc(cc1)C1=CC2(CCNCC2)Oc2c1cccc2,291.394,3.94132,1,2,7.14
CHEMBL3665425,O=C1CC(=O)N(c2c(N1)cccc2)C1CCN(CC1)C1CCCCCCC1,369.509,3.9391,1,3,4.79
CHEMBL3086762,O=C1CC[C@@]2([C@@]34[C@H]1Oc1c4c(C[C@H]2N(CC3)CC2CC2)ccc1O)OC(=O)c1ccc2c(n1)cccc2,496.563,3.9383,1,7,7.64
CHEMBL472843,O=C1CC[C@@]2([C@@]34[C@H]1Oc1c4c(C[C@H]2N(CC3)CC2CC2)ccc1O)OC(=O)c1ccc2c(n1)cccc2,496.563,3.9383,1,7,7.64
CHEMBL3086744,O=C1CC[C@@]2([C@@]34[C@H]1Oc1c4c(C[C@H]2N(CC3)CC2CC2)ccc1O)OC(=O)c1cnc2c(c1)cccc2,496.563,3.9383,1,7,6.09
CHEMBL473253,O=C1CC[C@@]2([C@@]34[C@H]1Oc1c4c(C[C@H]2N(CC3)CC2CC2)ccc1O)OC(=O)c1cnc2c(c1)cccc2,496.563,3.9383,1,7,6.09
CHEMBL373446,Oc1cccc(c1)[C@]1(C)C[C@@H]2CN(CCN2C[C@@H]1C)Cc1cccs1,356.535,3.9376,1,4,6.59
CHEMBL219554,Oc1cccc(c1)[C@]1(C)C[C@@H]2CN(CCN2C[C@@H]1C)Cc1cscc1,356.535,3.9376,1,4,6.47
CHEMBL377340,Oc1cccc(c1)n1cnnc1c1cccc(c1)C(C)(C)C,293.37,3.9374,1,4,6.64
CHEMBL211284,Oc1cccc(c1)n1cnnc1c1ccc(cc1)C(C)(C)C,293.37,3.9374,1,4,5.00
CHEMBL2418733,Oc1cccc(c1)[C@@]12CCN([C@H](C2)[C@@H]2[C@@H](C1)CCCC2)C,285.431,3.9343,1,2,6.94
CHEMBL474283,OCCN1CN(C2(C1=O)CCN(CC2)C1CCC(c2c1cccc2)(C)C)c1ccccc1,433.596,3.9323,1,4,5.58
CHEMBL4107680,CO[C@]12CC[C@]3(C[C@@H]1COCc1ccccc1)[C@@]14[C@H]2Oc2c4c(C[C@H]3N(CC1)C)ccc2N,446.591,3.9299,1,5,6.39
CHEMBL7002,O=C1NC(=O)C(S1)Cc1ccc(cc1)OCC1(C)CCCCC1,333.453,3.9299,1,4,5.02
CHEMBL4467513,CC(=O)N(CC1CCCCC1)CCN1[C@@H]2CC[C@H]1C[C@H](C2)c1cccc(c1)C(=O)N,411.59,3.9247,1,3,8.80
CHEMBL240215,Clc1cccc(c1CN1CCC2(CC1)C(=O)NCN2c1ccccc1)Cl,390.314,3.9219,1,3,5.79
CHEMBL219495,Oc1cccc(c1)[C@]1(C)C[C@@H]2CN(CCN2C[C@@H]1C)CCc1ccccc1,364.533,3.9186,1,3,6.62
CHEMBL2386902,C=CCN1CC[C@@]2([C@H](C1)Oc1c2cc(cc1)O)CCc1ccccc1,335.447,3.9155,1,3,7.26
CHEMBL237506,CCCCCN1CCCc2c(C1)ccc(c2)Oc1ccc(cn1)C(=O)N,353.466,3.9112,1,4,6.73
CHEMBL1650847,OCC1(CCCCCCC1)N1CCC(CC1)n1c(nc2c1cccc2)N1CCN(CC1)C,439.648,3.9004,1,6,6.17
CHEMBL1814705,Oc1cccc2c1O[C@H]1[C@@]32CCC[C@H](C3)N(C1)CCc1ccccc1,335.447,3.8919,1,3,5.91
CHEMBL1814704,Oc1ccc2c(c1)[C@]13CCC[C@H](C1)N(C[C@H]3O2)CCc1ccccc1,335.447,3.8919,1,3,5.90
CHEMBL455906,Oc1ccc2c(c1)[C@]13CCC[C@H](C1)N(C[C@@H]3O2)CCc1ccccc1,335.447,3.8919,1,3,5.60
CHEMBL455905,Oc1cccc2c1O[C@@H]1[C@@]32CCC[C@H](C3)N(C1)CCc1ccccc1,335.447,3.8919,1,3,5.55
CHEMBL515842,Oc1cccc2c1O[C@H]1[C@@]32CCN([C@H](C3)CC1)CCc1ccccc1,335.447,3.8919,1,3,5.43
CHEMBL515681,Oc1ccc2c(c1)[C@]13CCN([C@H](C1)CC[C@H]3O2)CCc1ccccc1,335.447,3.8919,1,3,5.32
CHEMBL48241,Oc1ccc2c(c1)[C@]13CCCC[C@H]3[C@@H](C2=O)N(CC1)CC1CCC1,325.452,3.8909,1,3,6.59
CHEMBL3950863,Oc1ccc(cc1)CCN(CC1CC1)CCc1ccccc1,295.426,3.8894,1,2,5.66
CHEMBL1188090,CCCN(CCc1cccc(c1)O)CCc1ccccc1,283.415,3.8894,1,2,5.43
CHEMBL545783,CCCN(CCc1cccc(c1)O)CCc1ccccc1,283.415,3.8894,1,2,5.43
CHEMBL136421,CNC(=O)c1cccc(c1)[C@]1(C)CCN(C[C@@H]1C)CCc1ccccc1,350.506,3.8884,1,2,5.92
CHEMBL3086307,CNc1nc2c(s1)C[C@@H]1[C@@]3(C2)CCN([C@@H]1Cc1c3cc(OC)cc1)CC1CC1,395.572,3.8866,1,5,8.80
CHEMBL299189,O=C1[C@H]2N(CC[C@]3([C@H]2CCCC3)c2c1ccc(c2)C(=O)O)CC1CCC1,353.462,3.8835,1,3,6.10
CHEMBL442090,O=C1NCN(C21CCN(CC2)C1CCCCc2c1cccc2)c1ccccc1,375.516,3.8826,1,3,5.72
CHEMBL397705,CC(=CCN1CC[C@@]2([C@@H]([C@H]1Cc1c2cc(cc1)O)C)C)C,285.431,3.8826,1,2,7.31
CHEMBL220248,Oc1cccc(c1)[C@]1(C)C[C@@H]2CN(CCN2C[C@@H]1C)c1ccccc1,336.479,3.8805,1,3,6.02
CHEMBL376690,Oc1cccc(c1)[C@]1(C)C[C@@H]2CN(CCN2C[C@@H]1C)Cc1ccccc1,350.506,3.8761,1,3,6.86
CHEMBL3220707,CCCC(CN1CCC(CC1)(c1cccc(c1)C(=O)N)c1ncc(cn1)C(=O)N(CC)CC)C,465.642,3.8756,1,5,8.70
CHEMBL2373217,CCC(=O)N([C@H]1CCN(C[C@H]1C)C[C@@H](c1ccccc1)O)c1ccccc1,366.505,3.8736,1,3,6.99
CHEMBL331883,CCC(=O)N([C@H]1CCN(C[C@H]1C)C[C@@H](c1ccccc1)O)c1ccccc1,366.505,3.8736,1,3,6.99
CHEMBL121403,CCC(=O)N([C@@H]1CCN(C[C@H]1C)C[C@H](c1ccccc1)O)c1ccccc1,366.505,3.8736,1,3,6.70
CHEMBL241824,CNC(=O)Oc1ccc2c(c1)C13CCCCC3C(C2)N(CC1)CC1CC1,354.494,3.8732,1,3,7.38
CHEMBL564922,O=C(c1ccc(cc1)C1=CC2(CCNCC2)Oc2c1cccc2)N1CCCC1,374.484,3.8689,1,3,7.57
CHEMBL259658,COC(=O)[C@@H]1C[C@H](NC(=O)c2ccccc2)C(=O)[C@H]2[C@@]1(C)CC[C@@H]1[C@]2(C)C[C@H](OC1=O)c1ccoc1,493.556,3.867,1,7,6.09
CHEMBL355202,O=C1NCN(C21CCN(CC2)[C@@H]1Cc2c3c1cccc3ccc2)c1ccccc1,383.495,3.8655,1,3,7.00
CHEMBL281274,O=C1NCN(C21CCN(CC2)C1Cc2c3c1cccc3ccc2)c1ccccc1,383.495,3.8655,1,3,6.60
CHEMBL3698754,CC(=O)N[C@H]1CCN(C1)c1nc2ccccc2n(c1=O)C1CCN(CC1)C1CCCCCCC1,465.642,3.8611,1,6,4.27
CHEMBL3695271,CC(=O)N[C@@H]1CCN(C1)c1nc2ccccc2n(c1=O)C1CCN(CC1)C1CCCCCCC1,465.642,3.8611,1,6,4.24
CHEMBL49269,Oc1ccc2c(c1)[C@]13CCCC[C@H]3[C@@H](C2)N(CC1)CC1CC1,297.442,3.8606,1,2,9.70
CHEMBL1181950,Oc1ccc2c(c1)[C@@]13CCCCC3[C@H](C2)N(CC1)CC1CC1,297.442,3.8606,1,2,7.89
CHEMBL201038,Oc1ccc2c(c1)[C@@]13CCCCC3[C@H](C2)N(CC1)CC1CC1,297.442,3.8606,1,2,7.89
CHEMBL377643,Oc1cccc(c1)n1c(nnc1c1ccc2c(c1)cccc2)N(C)C,330.391,3.8591,1,5,6.32
CHEMBL3978967,COC(=O)CCC(=O)N(CC1CCCCC1)CCN1[C@@H]2CC[C@H]1C[C@H](C2)c1cccc(c1)C(=O)N,483.653,3.858,1,5,7.00
CHEMBL3287470,CN1CC[C@@]23[C@@](C1)(Cc1c(C2)nc2c(c1)cccc2)Cc1c3cc(cc1)O,356.469,3.855,1,3,8.72
CHEMBL517167,CNCCN1CN(C2(C1=O)CCN(CC2)Cc1c(Cl)cccc1Cl)c1ccccc1,447.41,3.8537,1,4,5.64
CHEMBL3698755,NC(=O)C1CCCN(C1)c1nc2ccccc2n(c1=O)C1CCN(CC1)C1CCCCCCC1,465.642,3.848,1,6,4.41
CHEMBL3698853,OC(=O)c1nc2ccccc2n(c1=O)C1CCN(CC1)C1CCCCCCC1,383.492,3.8445,1,5,4.50
CHEMBL3698801,OC(=O)c1nc2ccccc2n(c1=O)[C@@H]1C[C@@H]2CC[C@H](C1)N2C12CC3CC2CC(C1)C3,419.525,3.8413,1,5,4.82
CHEMBL384336,Oc1cccc(c1)[C@]1(C)C[C@@H]2CN(CCN2C[C@@H]1C)C(=O)CCc1ccccc1,392.543,3.8353,1,3,6.85
CHEMBL3698789,OC(=O)CN(C(=O)c1nc2ccccc2n(c1=O)[C@@H]1C[C@@H]2CC[C@H](C1)N2C1CCCCCCC1)C,480.609,3.8339,1,6,4.64
CHEMBL299031,CO/C=C(\[C@H]1C[C@@H]2N(C[C@H]1CC)CCc1c2[nH]c2c1c(OC)ccc2)/C(=O)OC,398.503,3.8251,1,5,7.22
CHEMBL231049,CCC(=O)N(c1ccccc1)C1CCN(CC1)C(=O)CC(c1ccc(cc1)C)N,393.531,3.81912,1,3,5.54
CHEMBL60533,CO/C=C(\[C@H]1C[C@@H]2N(C[C@H]1CC)CCc1c2[nH]c2c1cccc2)/C(=O)OC,368.477,3.8165,1,4,5.54
CHEMBL4203753,Nc1nc2c(s1)cc1c(c2)[C@@]2(C)CCN([C@H](C1)[C@@H]2C)CC1CC1,327.497,3.8127,1,4,6.03
